2025-11-09 00:52:28.089 [http-nio-8080-exec-2] DEBUG o.s.jdbc.support.JdbcTransactionManager-Releasing JDBC Connection [HikariProxyConnection@104661188 wrapping com.mysql.cj.jdbc.ConnectionImpl@3218b048] after transaction
2025-11-09 00:52:28.089 [http-nio-8080-exec-2] INFO  com.itheima.controller.DeptController-根据ID删除部门: 12
2025-11-09 00:52:28.089 [http-nio-8080-exec-2] INFO  com.itheima.aop.OperationLogAspect-记录操作日志：OperateLog(id=null, operateEmpId=10, operateTime=2025-11-09T00:52:28.089548, className=com.itheima.controller.DeptController, methodName=delete, methodParams=[12], returnValue=Result(code=1, msg=success, data=null), costTime=22)
2025-11-09 00:52:28.098 [http-nio-8080-exec-1] INFO  com.itheima.intercepter.TokenIntercepter-当前登录员工id：10 已经存储到localthread
2025-11-09 00:52:28.101 [http-nio-8080-exec-1] INFO  com.itheima.controller.DeptController-查询全部部门数据
2025-11-09 00:56:14.856 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown-Commencing graceful shutdown. Waiting for active requests to complete
2025-11-09 00:56:14.863 [tomcat-shutdown] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown-Graceful shutdown complete
2025-11-09 00:56:14.869 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Shutdown initiated...
2025-11-09 00:56:14.874 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Shutdown completed.
2025-11-09 01:08:17.983 [main] INFO  com.itheima.TliasWebManagementApplication-Starting TliasWebManagementApplication using Java 17.0.17 with PID 1111 (/Users/ykw/Documents/WebApp/IdeaProj/web-ai-proj02/tlias-web-management/target/classes started by ykw in /Users/ykw/Documents/WebApp/IdeaProj/web-ai-proj02)
2025-11-09 01:08:17.985 [main] INFO  com.itheima.TliasWebManagementApplication-No active profile set, falling back to 1 default profile: "default"
2025-11-09 01:08:18.666 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat initialized with port 8080 (http)
2025-11-09 01:08:18.672 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Initializing ProtocolHandler ["http-nio-8080"]
2025-11-09 01:08:18.673 [main] INFO  org.apache.catalina.core.StandardService-Starting service [Tomcat]
2025-11-09 01:08:18.673 [main] INFO  org.apache.catalina.core.StandardEngine-Starting Servlet engine: [Apache Tomcat/10.1.48]
2025-11-09 01:08:18.694 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring embedded WebApplicationContext
2025-11-09 01:08:18.695 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext-Root WebApplicationContext: initialization completed in 688 ms
2025-11-09 01:08:19.297 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver-Exposing 1 endpoint beneath base path '/actuator'
2025-11-09 01:08:19.333 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Starting ProtocolHandler ["http-nio-8080"]
2025-11-09 01:08:19.343 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat started on port 8080 (http) with context path '/'
2025-11-09 01:08:19.354 [main] INFO  com.itheima.TliasWebManagementApplication-Started TliasWebManagementApplication in 1.564 seconds (process running for 2.291)
2025-11-09 01:08:19.969 [RMI TCP Connection(6)-127.0.0.1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-11-09 01:08:19.970 [RMI TCP Connection(6)-127.0.0.1] INFO  org.springframework.web.servlet.DispatcherServlet-Initializing Servlet 'dispatcherServlet'
2025-11-09 01:08:19.971 [RMI TCP Connection(6)-127.0.0.1] INFO  org.springframework.web.servlet.DispatcherServlet-Completed initialization in 1 ms
2025-11-09 01:08:19.971 [RMI TCP Connection(3)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Starting...
2025-11-09 01:08:20.139 [RMI TCP Connection(3)-127.0.0.1] INFO  com.zaxxer.hikari.pool.HikariPool-HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@307e60e3
2025-11-09 01:08:20.144 [RMI TCP Connection(3)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Start completed.
2025-11-09 01:08:20.411 [http-nio-8080-exec-1] INFO  com.itheima.intercepter.TokenIntercepter-当前登录员工id：10 已经存储到localthread
2025-11-09 01:08:20.411 [http-nio-8080-exec-2] INFO  com.itheima.intercepter.TokenIntercepter-当前登录员工id：10 已经存储到localthread
2025-11-09 01:08:20.759 [http-nio-8080-exec-3] INFO  com.itheima.intercepter.TokenIntercepter-当前登录员工id：10 已经存储到localthread
2025-11-09 01:08:29.814 [http-nio-8080-exec-4] INFO  com.itheima.intercepter.TokenIntercepter-当前登录员工id：10 已经存储到localthread
2025-11-09 01:08:30.778 [http-nio-8080-exec-5] INFO  com.itheima.intercepter.TokenIntercepter-当前登录员工id：10 已经存储到localthread
2025-11-09 01:08:31.592 [http-nio-8080-exec-6] INFO  com.itheima.intercepter.TokenIntercepter-当前登录员工id：10 已经存储到localthread
2025-11-09 01:08:32.353 [http-nio-8080-exec-7] INFO  com.itheima.intercepter.TokenIntercepter-当前登录员工id：10 已经存储到localthread
2025-11-09 01:09:00.095 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown-Commencing graceful shutdown. Waiting for active requests to complete
2025-11-09 01:09:00.103 [tomcat-shutdown] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown-Graceful shutdown complete
2025-11-09 01:09:00.108 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Shutdown initiated...
2025-11-09 01:09:00.117 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Shutdown completed.
2025-11-09 01:09:08.024 [main] INFO  com.itheima.TliasWebManagementApplication-Starting TliasWebManagementApplication using Java 17.0.17 with PID 1143 (/Users/ykw/Documents/WebApp/IdeaProj/web-ai-proj02/tlias-web-management/target/classes started by ykw in /Users/ykw/Documents/WebApp/IdeaProj/web-ai-proj02)
2025-11-09 01:09:08.025 [main] INFO  com.itheima.TliasWebManagementApplication-No active profile set, falling back to 1 default profile: "default"
